,about,album,all,alone,always,and,and you,are,around,away,back,been,before,better,broken,but,can,cant,could,dont,down,even,ever,every,everything,eyes,fall,feel,find,float,float away,for,from,get,getting,got,had,have,here,hold,home,hope,how,ill,its,ive,just,keep,knees,know,last,left,let,lets,like,little,look,looking,lost,make,mind,more,much,myself,need,never,night,not,nothing,now,off,one,only,our,out,over,past,right,same,say,see,seems,something,stay,still,take,talk,than,that,thats,the,the past,the same,there,theres,these,things,think,this,through,time,too,too much,trying,used,want,was,way,well,were,what,when,where,while,who,will,with,without,woah,wont,words,would,year,you,you float,youll,your,youre
"""A Little Too Nice"" lyrics",0.0,0.0,0.16848273861070037,0.0,0.0,0.11807871430662119,0.22087709769564498,0.0,0.0,0.0,0.026223213969189182,0.02671237380092818,0.0,0.0,0.03740762275197391,0.02073233602119399,0.06280534106688852,0.0,0.17256603957121247,0.0,0.0,0.0,0.0,0.0,0.10912375627744404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032117679811718675,0.0,0.0,0.0,0.0,0.0,0.0,0.021060342326337547,0.0,0.12439401612716396,0.05150127811770725,0.0,0.0,0.18703811375986953,0.0,0.0,0.26505251723477397,0.02073233602119399,0.43367039720482375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13696328127062612,0.12289021580489617,0.023601836420129946,0.0,0.0,0.0,0.0,0.0,0.07704677612907672,0.1385456090983553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5782271962730983,0.0,0.0852508108802084,0.0,0.014140198396602981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21979845821892732,0.025750639058853626,0.0,0.27066674149024306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03637458542581468,0.0,0.0,0.0,0.0,0.03852338806453836,0.0,0.0,0.14068214646040914,0.0,0.0,0.02209337965249678,0.0
"""Looking Back"" lyrics",0.0,0.0,0.042951572877702425,0.0,0.0,0.10535698141147436,0.0,0.030035470717605244,0.0,0.0,0.18718351959874327,0.05447862395912541,0.11127637190820448,0.037092123969401494,0.0,0.12684785855912348,0.06404426248499012,0.0,0.03519402823566723,0.02289843306876056,0.025792511388027486,0.0,0.0,0.09398579528607001,0.0,0.0,0.034332273304730515,0.025341216245828434,0.17166136652365258,0.0,0.0,0.0,0.07737753416408245,0.09398579528607001,0.0,0.0,0.25277992384135656,0.032751245058599346,0.09398579528607001,0.0,0.0,0.0,0.05068243249165687,0.04733395430848849,0.10737893219425605,0.10136486498331373,0.0,0.0,0.0,0.048134829972781075,0.0,0.0,0.0,0.0,0.08456523903941565,0.0,0.14444567076648945,0.12156044059465623,0.0,0.06866454660946103,0.0,0.0,0.03611141769162236,0.08326879081011464,0.0,0.0,0.0,0.024067414986390537,0.0,0.06550249011719869,0.037092123969401494,0.06265719685738,0.0,0.0,0.02018265872776645,0.0,0.0,0.03351978914408304,0.0,0.0,0.027756263603371547,0.18018736090202409,0.07418424793880299,0.0,0.030035470717605244,0.12808852496998024,0.0,0.034332273304730515,0.03477299997944782,0.0,0.1009339323093847,0.0,0.0,0.0,0.03202213124249506,0.0,0.14077611294266892,0.0,0.049807618668670256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06866454660946103,0.0,0.0817179359386881,0.0,0.02289843306876056,0.0,0.0,0.03202213124249506,0.037092123969401494,0.02216931925265627,0.2026007343244271,0.7078672639736654,0.0,0.0,0.0,0.15258215748978465,0.11157789578732086,0.0,0.0,0.04505840368379176,0.0
"""Island (Acoustic)"" lyrics",0.0,0.0,0.0,0.0,0.021383885876298768,0.05247420599973088,0.09423151647134655,0.041886592407401536,0.0,0.26591005626359426,0.0,0.0,0.0,0.05172759544335864,0.0,0.014741527329394648,0.044657131295915045,0.0,0.0,0.1437006943496023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023939394056039242,0.49358553164322544,0.49358553164322544,0.04790023144986744,0.0,0.043689950639212924,0.0531966578741714,0.0,0.0,0.0,0.0,0.09423151647134655,0.0,0.0,0.017670060941889387,0.033005276824046796,0.0,0.0,0.05896610931757859,0.05492922973765399,0.0,0.0,0.0,0.0,0.0847623244517355,0.15705252745224427,0.13267374596455184,0.0,0.025179965520164393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03246213952784504,0.0,0.0,0.0,0.0,0.0,0.0,0.04567393218180441,0.054783366176751974,0.028146147858842067,0.0,0.0,0.02337286068630313,0.0,0.021383885876298768,0.0,0.1256420219617954,0.0,0.0,0.0,0.022328565647957523,0.0,0.0,0.012123353173119859,0.0,0.030162754582044517,0.0,0.0,0.0,0.0,0.0,0.07362084964850736,0.02337286068630313,0.0,0.0,0.041886592407401536,0.06415165762889631,0.0,0.0,0.0,0.0,0.0,0.0,0.0265983289370857,0.03798715089479918,0.0,0.06386697526648992,0.0,0.0,0.0,0.0,0.015458343373677791,0.0,0.0,0.0,0.0,0.0265983289370857,0.0,0.20006136353221096,0.49358553164322544,0.0,0.01570928426073311,0.0
"""I've Never Been Home"" lyrics",0.12667049900574484,0.0,0.09243296361418751,0.14776798876280178,0.0,0.19434095610826183,0.0,0.0,0.0,0.0,0.0,0.23447898778947857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09855611279676484,0.0,0.16418049522406603,0.0,0.0,0.0,0.12417299176546936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1514770292862966,0.0,0.0,0.0,0.0,0.3029540585725932,0.0,0.4362799426897664,0.0,0.09243296361418751,0.1090699856724416,0.09099335762874051,0.0,0.0,0.10358747513432565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.100187687661146,0.0,0.10358747513432565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1596465375085943,0.0,0.0,0.0,0.0,0.0,0.299329801123537,0.2819263128212397,0.12412148137364969,0.0,0.0,0.0,0.275650021051766,0.0,0.0,0.2885420246780962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.137825010525883,0.0,0.19083593382405592,0.0,0.0,0.0,0.0,0.0,0.0,0.13721068224337168,0.0,0.0,0.0,0.0
"""I Had A Heart"" lyrics",0.1635437531448034,0.0,0.0,0.0,0.0,0.2509127981745236,0.0,0.0,0.0,0.0,0.0,0.0,0.20611897897034434,0.0,0.0,0.058740572330012855,0.0,0.17409137114985523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21122970564178536,0.0,0.0,0.0,0.12724538632641294,0.0,0.0,0.0,0.0,0.1003346229230363,0.0,0.0,0.0,0.0,0.0,0.14081980376119024,0.13151614532431433,0.1790097209186295,0.0,0.058740572330012855,0.0,0.0,0.0668706786317045,0.10598637643678374,0.09539131710467061,0.0,0.0,0.11748114466002571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08704568557492762,0.0,0.10305948948517217,0.0,0.0,0.08704568557492762,0.0,0.0,0.16823095706136454,0.19078263420934122,0.0,0.0,0.0,0.0,0.07712004735396374,0.0,0.0,0.0,0.08345276428917266,0.0,0.0,0.09539131710467061,0.0,0.09099847176525759,0.20031590888438486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13838915659561013,0.0,0.250358292867518,0.0,0.0,0.0,0.09099847176525759,0.0,0.34818274229971047,0.0,0.0,0.0,0.16031923195962636,0.0,0.0,0.0,0.17794529646245943,0.0,0.0,0.0,0.0,0.0,0.0,0.10598637643678374,0.42394550574713497,0.17715213977819988,0.0,0.0,0.0,0.0
"""Cheap Talk And Eager Lies"" lyrics",0.037731265309831015,0.0,0.0,0.0,0.0,0.1929607454785636,0.0,0.0,0.0,0.17461028746449087,0.10284768317918357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0880705500261363,0.09920157670517493,0.14671303593075127,0.0,0.0,0.0,0.11096200299343338,0.08803112377502421,0.0,0.0,0.0,0.0,0.11742740003484839,0.0,0.0,0.14671303593075127,0.13536111466854864,0.0,0.0,0.0,0.0,0.0,0.1426614541620967,0.06497722199009763,0.0,0.05506590249309262,0.0,0.027104136678001368,0.2019884801838709,0.0,0.061711077760757925,0.04890434531025043,0.0,0.0,0.0,0.027104136678001368,0.0,0.0,0.0,0.0,0.04401556188751211,0.0,0.0,0.0,0.0,0.04890434531025043,0.08952853869510076,0.0,0.15427769440189482,0.1426614541620967,0.0,0.0,0.12049413542304112,0.0,0.0,0.1552506103633058,0.08803112377502421,0.08594783924922646,0.0,0.0,0.0,0.0,0.0,0.0,0.311692211498858,0.0,0.08210770588732734,0.3149739321604957,0.04401556188751211,0.06687089079529232,0.12596583170953846,0.2772899322129867,0.0,0.0,0.0,0.123161558830991,0.1320466856625363,0.09024074311236575,0.04297391962461323,0.1277113404359617,0.033664746697311815,0.0,0.0,0.0,0.15108907761289522,0.0,0.04016471180768037,0.0,0.17606224755004843,0.0,0.0,0.0,0.1761411000522726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2014521034838603,0.14671303593075127,0.0,0.326966906782788,0.0,0.0,0.05776695700552903,0.0
"""Take A Hint"" lyrics",0.0,0.025070751162657227,0.02428645154570075,0.0,0.0,0.03404162345927428,0.0,0.0,0.039800082007580166,0.030804284276784007,0.030240192944955297,0.0,0.0,0.0,0.0,0.0,0.036213059811584146,0.0,0.0,0.025895288481303843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.028657773358653247,0.0,0.0,0.0,0.051790576962607686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026764416545413654,0.02428645154570075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02390819989560335,0.11113373314870148,0.0,0.0,0.31840065606064133,0.0,0.0,0.0,0.0,0.03138889246325731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0228240844474301,0.0,0.0,0.0,0.0,0.27744762487717856,0.18833335477954388,0.0,0.0,0.27493957055144536,0.0,0.21727835886950486,0.0,0.0,0.09830987813928545,0.0,0.22828752402885583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05939045416100178,0.0,0.03468095310964732,0.0,0.0,0.0,0.2834300815570213,0.0,0.0,0.5607923766511516,0.24643427421427205,0.3262603761558812,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.044424557925423824,0.0,0.0,0.07210329422662166,0.0,0.0,0.025477733747001487,0.0
"""Ripcord"" lyrics",0.0,0.03384716751889616,0.19672986786242633,0.0,0.0,0.022979218380130895,0.0,0.045856870808781224,0.10746547115691532,0.0,0.0,0.0,0.0,0.0,0.0,0.06455529327314924,0.0,0.23915581418248666,0.0,0.0,0.0393789021545622,0.0,0.0,0.0,0.0,0.0,0.15725113513043568,0.0,0.0,0.0,0.0,0.034960347278399445,0.0,0.0,0.0,0.0,0.0,0.0,0.04783116283649733,0.0,0.0,0.05663066688317773,0.03868988405236471,0.0,0.06557662262080877,0.0,0.03227764663657462,0.0,0.0,0.03674509882361623,0.0,0.0,0.0,0.0,0.09683293990972386,0.0,0.055133366524401664,0.0,0.0,0.0,0.0,0.17992824917361064,0.0,0.0,0.1747169292647273,0.0,0.09566232567299467,0.0,0.0,0.3500223916314467,0.0,0.0,0.15000959641347716,0.3598564983472213,0.3081401928268827,0.0,0.0,0.15352973703356948,0.0,0.0,0.0,0.0,0.0,0.0,0.09171374161756245,0.0,0.0,0.0,0.07963489149297548,0.0,0.2641741828320945,0.0,0.0,0.0,0.0,0.0,0.05373273557845766,0.0,0.0,0.0,0.045856870808781224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04404730251152055,0.27968277822719556,0.10235315802237965,0.058238976421575765,0.0,0.05663066688317773,0.06769433503779232,0.0,0.0,0.0,0.11995216611574043,0.0,0.0,0.2920326075416309,0.0,0.0,0.20637972509281455,0.17973292612710906
"""Get By"" lyrics",0.0,0.020391382813986114,0.0,0.0,0.11283149621238009,0.06921968263575345,0.0,0.08288005252947604,0.0,0.1503286317007615,0.12297983149939823,0.025054771950126918,0.03411740751368678,0.3411740751368678,0.14034536417194327,0.0,0.02945401837754598,0.0,0.0,0.08424809246041037,0.02372400196205156,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021062023115102593,0.07117200588615469,0.4898737943721394,0.0,0.0,0.0,0.03012465867866245,0.028816105551302318,0.331473367541929,0.0,0.13646963005474713,0.023308899815621398,0.08707572581764934,0.0,0.023308899815621398,0.0,0.0,0.0,0.0,0.0,0.031578891523575944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025530265055587736,0.0,0.0,0.0,0.04427450989698327,0.0,0.0,0.0,0.057632211102604636,0.0602493173573249,0.0,0.0742561944517286,0.12631556609430378,0.0,0.0,0.0,0.22566299242476018,0.025530265055587736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05305098660219074,0.0,0.0,0.031578891523575944,0.11781607351018392,0.0,0.0,0.0,0.0,0.0,0.0,0.028207874053095022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.050109543900253836,0.15921900825546417,0.10531011557551297,0.0,0.35086341042985814,0.0,0.0,0.0,0.0,0.0,0.035086341042985816,0.0,0.0,0.0,0.2785659615713422,0.0,0.2456043873009007,0.020722403517041493,0.054140466833593595
"""Composure"" lyrics",0.0,0.05732756048113352,0.0,0.0,0.0,0.2335219094644805,0.0,0.0,0.0,0.0,0.0,0.2113141076425804,0.0,0.0,0.0,0.3826846418093019,0.0,0.0,0.09100810716202717,0.0,0.0,0.0,0.0,0.1620250131040609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3672020909851738,0.05553415654861104,0.06552975715860776,0.0,0.20370609345691154,0.0,0.0,0.0,0.0,0.0,0.0,0.054669234544185985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0601932309997192,0.0,0.1244716784067718,0.0,0.0,0.0,0.0,0.25407396959710205,0.0,0.31314157436227374,0.0887796982803575,0.0,0.0,0.0,0.0,0.07177481916869928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04495968587744072,0.0,0.41015021367609517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13580406230460768,0.0,0.0,0.0,0.0,0.08469132319903401,0.0,0.0,0.0,0.0,0.2113141076425804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30474773349959244,0.0,0.0,0.041218409590599525,0.0,0.0,0.0,0.0
"""Unconditional Love"" lyrics",0.0,0.05314538719132181,0.02574140803611129,0.0,0.0,0.07216198859087414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17738347219415387,0.0,0.03755123183258488,0.0,0.027446627423348503,0.18549324704984674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05399425526436227,0.0,0.0,0.0,0.0,0.05148281607222258,0.0,0.0,0.031474213331073086,0.0,0.05769559604283704,0.0,0.0,0.8256636296293614,0.0,0.0,0.0,0.0,0.0,0.12655329440366603,0.04115151072398322,0.0,0.0,0.04328403712754668,0.0,0.0,0.167406001978553,0.0,0.02884779802141852,0.0,0.03925645121982209,0.0,0.0,0.0,0.0,0.024191433223844712,0.0,0.0,0.0,0.0,0.036758625005253544,0.033269343081178036,0.0,0.0,0.0,0.0,0.038382517392134496,0.0,0.0,0.04167977660139821,0.0,0.12098190413948309,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031474213331073086,0.10800377106095493,0.036758625005253544,0.051987470938713046,0.0,0.03925645121982209,0.0,0.0,0.0,0.0,0.032649712097172705,0.06916120663276064,0.08233988227004552,0.0,0.04572218561306435,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22926860854201034,0.0,0.2743331136783861,0.0,0.0
"""A Little Too Nice"" lyrics",0.0,0.0,0.16848273861070037,0.0,0.0,0.11807871430662119,0.22087709769564498,0.0,0.0,0.0,0.026223213969189182,0.02671237380092818,0.0,0.0,0.03740762275197391,0.02073233602119399,0.06280534106688852,0.0,0.17256603957121247,0.0,0.0,0.0,0.0,0.0,0.10912375627744404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.032117679811718675,0.0,0.0,0.0,0.0,0.0,0.0,0.021060342326337547,0.0,0.12439401612716396,0.05150127811770725,0.0,0.0,0.18703811375986953,0.0,0.0,0.26505251723477397,0.02073233602119399,0.43367039720482375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13696328127062612,0.12289021580489617,0.023601836420129946,0.0,0.0,0.0,0.0,0.0,0.07704677612907672,0.1385456090983553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5782271962730983,0.0,0.0852508108802084,0.0,0.014140198396602981,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21979845821892732,0.025750639058853626,0.0,0.27066674149024306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03637458542581468,0.0,0.0,0.0,0.0,0.03852338806453836,0.0,0.0,0.14068214646040914,0.0,0.0,0.02209337965249678,0.0
"""Looking Back"" lyrics",0.0,0.0,0.042951572877702425,0.0,0.0,0.10535698141147436,0.0,0.030035470717605244,0.0,0.0,0.18718351959874327,0.05447862395912541,0.11127637190820448,0.037092123969401494,0.0,0.12684785855912348,0.06404426248499012,0.0,0.03519402823566723,0.02289843306876056,0.025792511388027486,0.0,0.0,0.09398579528607001,0.0,0.0,0.034332273304730515,0.025341216245828434,0.17166136652365258,0.0,0.0,0.0,0.07737753416408245,0.09398579528607001,0.0,0.0,0.25277992384135656,0.032751245058599346,0.09398579528607001,0.0,0.0,0.0,0.05068243249165687,0.04733395430848849,0.10737893219425605,0.10136486498331373,0.0,0.0,0.0,0.048134829972781075,0.0,0.0,0.0,0.0,0.08456523903941565,0.0,0.14444567076648945,0.12156044059465623,0.0,0.06866454660946103,0.0,0.0,0.03611141769162236,0.08326879081011464,0.0,0.0,0.0,0.024067414986390537,0.0,0.06550249011719869,0.037092123969401494,0.06265719685738,0.0,0.0,0.02018265872776645,0.0,0.0,0.03351978914408304,0.0,0.0,0.027756263603371547,0.18018736090202409,0.07418424793880299,0.0,0.030035470717605244,0.12808852496998024,0.0,0.034332273304730515,0.03477299997944782,0.0,0.1009339323093847,0.0,0.0,0.0,0.03202213124249506,0.0,0.14077611294266892,0.0,0.049807618668670256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06866454660946103,0.0,0.0817179359386881,0.0,0.02289843306876056,0.0,0.0,0.03202213124249506,0.037092123969401494,0.02216931925265627,0.2026007343244271,0.7078672639736654,0.0,0.0,0.0,0.15258215748978465,0.11157789578732086,0.0,0.0,0.04505840368379176,0.0
"""I've Never Been Home"" lyrics",0.12667049900574484,0.0,0.09243296361418751,0.14776798876280178,0.0,0.19434095610826183,0.0,0.0,0.0,0.0,0.0,0.23447898778947857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09855611279676484,0.0,0.16418049522406603,0.0,0.0,0.0,0.12417299176546936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1514770292862966,0.0,0.0,0.0,0.0,0.3029540585725932,0.0,0.4362799426897664,0.0,0.09243296361418751,0.1090699856724416,0.09099335762874051,0.0,0.0,0.10358747513432565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.100187687661146,0.0,0.10358747513432565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1596465375085943,0.0,0.0,0.0,0.0,0.0,0.299329801123537,0.2819263128212397,0.12412148137364969,0.0,0.0,0.0,0.275650021051766,0.0,0.0,0.2885420246780962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.137825010525883,0.0,0.19083593382405592,0.0,0.0,0.0,0.0,0.0,0.0,0.13721068224337168,0.0,0.0,0.0,0.0
"""Island (Acoustic)"" lyrics",0.0,0.0,0.0,0.0,0.021383885876298768,0.05247420599973088,0.09423151647134655,0.041886592407401536,0.0,0.26591005626359426,0.0,0.0,0.0,0.05172759544335864,0.0,0.014741527329394648,0.044657131295915045,0.0,0.0,0.1437006943496023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.023939394056039242,0.49358553164322544,0.49358553164322544,0.04790023144986744,0.0,0.043689950639212924,0.0531966578741714,0.0,0.0,0.0,0.0,0.09423151647134655,0.0,0.0,0.017670060941889387,0.033005276824046796,0.0,0.0,0.05896610931757859,0.05492922973765399,0.0,0.0,0.0,0.0,0.0847623244517355,0.15705252745224427,0.13267374596455184,0.0,0.025179965520164393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03246213952784504,0.0,0.0,0.0,0.0,0.0,0.0,0.04567393218180441,0.054783366176751974,0.028146147858842067,0.0,0.0,0.02337286068630313,0.0,0.021383885876298768,0.0,0.1256420219617954,0.0,0.0,0.0,0.022328565647957523,0.0,0.0,0.012123353173119859,0.0,0.030162754582044517,0.0,0.0,0.0,0.0,0.0,0.07362084964850736,0.02337286068630313,0.0,0.0,0.041886592407401536,0.06415165762889631,0.0,0.0,0.0,0.0,0.0,0.0,0.0265983289370857,0.03798715089479918,0.0,0.06386697526648992,0.0,0.0,0.0,0.0,0.015458343373677791,0.0,0.0,0.0,0.0,0.0265983289370857,0.0,0.20006136353221096,0.49358553164322544,0.0,0.01570928426073311,0.0
"""I Had A Heart"" lyrics",0.1635437531448034,0.0,0.0,0.0,0.0,0.2509127981745236,0.0,0.0,0.0,0.0,0.0,0.0,0.20611897897034434,0.0,0.0,0.058740572330012855,0.0,0.17409137114985523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21122970564178536,0.0,0.0,0.0,0.12724538632641294,0.0,0.0,0.0,0.0,0.1003346229230363,0.0,0.0,0.0,0.0,0.0,0.14081980376119024,0.13151614532431433,0.1790097209186295,0.0,0.058740572330012855,0.0,0.0,0.0668706786317045,0.10598637643678374,0.09539131710467061,0.0,0.0,0.11748114466002571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08704568557492762,0.0,0.10305948948517217,0.0,0.0,0.08704568557492762,0.0,0.0,0.16823095706136454,0.19078263420934122,0.0,0.0,0.0,0.0,0.07712004735396374,0.0,0.0,0.0,0.08345276428917266,0.0,0.0,0.09539131710467061,0.0,0.09099847176525759,0.20031590888438486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13838915659561013,0.0,0.250358292867518,0.0,0.0,0.0,0.09099847176525759,0.0,0.34818274229971047,0.0,0.0,0.0,0.16031923195962636,0.0,0.0,0.0,0.17794529646245943,0.0,0.0,0.0,0.0,0.0,0.0,0.10598637643678374,0.42394550574713497,0.17715213977819988,0.0,0.0,0.0,0.0
